,Date_measurement,RNA_flow_per_100000,RNA_per_ml,Measurement_count,RNA_per_100000_per_measurement,pandas_SMA_3,pandas_SMA_7
0,2020-03-30,0.0,1837.0,0,,,
1,2020-03-31,0.0,6890.0,0,,,
2,2020-04-01,0.0,12697.0,0,,,
3,2020-04-02,0.0,7193.0,0,,,
4,2020-04-05,0.0,11030.0,0,,,
5,2020-04-06,0.0,3446.0,0,,,
6,2020-04-07,0.0,9258.0,0,,,
7,2020-04-08,0.0,16993.0,0,,,
8,2020-04-09,0.0,2733.0,0,,,
9,2020-04-10,0.0,892.0,0,,,
10,2020-04-13,0.0,8644.0,0,,,
11,2020-04-14,0.0,1699.0,0,,,
12,2020-04-15,0.0,5127.0,0,,,
13,2020-04-16,0.0,2169.0,0,,,
14,2020-04-17,0.0,32.0,0,,,
15,2020-04-19,0.0,605.0,0,,,
16,2020-04-20,0.0,748.0,0,,,
17,2020-04-21,0.0,2863.0,0,,,
18,2020-04-22,0.0,8212.0,0,,,
19,2020-04-23,0.0,12456.0,0,,,
20,2020-04-26,0.0,135.0,0,,,
21,2020-04-27,0.0,2392.0,0,,,
22,2020-04-28,0.0,2408.0,0,,,
23,2020-04-29,0.0,3235.0,0,,,
24,2020-04-30,0.0,530.0,0,,,
25,2020-05-01,0.0,57.0,0,,,
26,2020-05-03,0.0,822.0,0,,,
27,2020-05-05,0.0,3253.0,0,,,
28,2020-05-06,0.0,3578.0,0,,,
29,2020-05-07,0.0,318.0,0,,,
30,2020-05-09,0.0,222.0,0,,,
31,2020-05-10,0.0,757.0,0,,,
32,2020-05-11,0.0,1812.0,0,,,
33,2020-05-12,0.0,435.0,0,,,
34,2020-05-13,0.0,1353.0,0,,,
35,2020-05-15,0.0,265.0,0,,,
36,2020-05-16,0.0,52.0,0,,,
37,2020-05-17,0.0,1569.0,0,,,
38,2020-05-18,0.0,211.0,0,,,
39,2020-05-19,0.0,777.0,0,,,
40,2020-05-20,0.0,68.0,0,,,
41,2020-05-21,0.0,3927.0,0,,,
42,2020-05-22,0.0,108.0,0,,,
43,2020-05-23,0.0,63.0,0,,,
44,2020-05-24,0.0,662.0,0,,,
45,2020-05-25,0.0,1079.0,0,,,
46,2020-05-26,0.0,535.0,0,,,
47,2020-05-27,0.0,2907.0,0,,,
48,2020-05-28,0.0,149.0,0,,,
49,2020-05-29,0.0,106.0,0,,,
50,2020-06-01,0.0,437.0,0,,,
51,2020-06-02,0.0,893.0,0,,,
52,2020-06-03,0.0,2232.0,0,,,
53,2020-06-04,0.0,442.0,0,,,
54,2020-06-05,0.0,109.0,0,,,
55,2020-06-06,0.0,19.0,0,,,
56,2020-06-07,0.0,91.0,0,,,
57,2020-06-08,0.0,485.0,0,,,
58,2020-06-09,0.0,471.0,0,,,
59,2020-06-10,0.0,951.0,0,,,
60,2020-06-11,0.0,970.0,0,,,
61,2020-06-12,0.0,0.0,0,,,
62,2020-06-14,0.0,369.0,0,,,
63,2020-06-15,0.0,312.0,0,,,
64,2020-06-16,0.0,437.0,0,,,
65,2020-06-17,0.0,250.0,0,,,
66,2020-06-18,0.0,0.0,0,,,
67,2020-06-19,0.0,0.0,0,,,
68,2020-06-21,0.0,474.0,0,,,
69,2020-06-22,0.0,80.0,0,,,
70,2020-06-23,0.0,288.0,0,,,
71,2020-06-24,0.0,0.0,0,,,
72,2020-06-27,0.0,142.0,0,,,
73,2020-06-28,0.0,353.0,0,,,
74,2020-06-29,0.0,175.0,0,,,
75,2020-06-30,0.0,23.0,0,,,
76,2020-07-01,0.0,0.0,0,,,
77,2020-07-02,0.0,172.0,0,,,
78,2020-07-05,0.0,0.0,0,,,
79,2020-07-06,0.0,174.0,0,,,
80,2020-07-07,0.0,138.0,0,,,
81,2020-07-08,0.0,256.0,0,,,
82,2020-07-09,0.0,0.0,0,,,
83,2020-07-10,0.0,0.0,0,,,
84,2020-07-11,0.0,0.0,0,,,
85,2020-07-12,0.0,0.0,0,,,
86,2020-07-13,0.0,619.0,0,,,
87,2020-07-14,0.0,98.0,0,,,
88,2020-07-15,0.0,0.0,0,,,
89,2020-07-16,0.0,260.0,0,,,
90,2020-07-17,0.0,0.0,0,,,
91,2020-07-18,0.0,353.0,0,,,
92,2020-07-19,0.0,527.0,0,,,
93,2020-07-20,0.0,1238.0,0,,,
94,2020-07-21,0.0,4652.0,0,,,
95,2020-07-22,0.0,685.0,0,,,
96,2020-07-23,0.0,1481.0,0,,,
97,2020-07-24,0.0,349.0,0,,,
98,2020-07-25,0.0,376.0,0,,,
99,2020-07-26,0.0,2187.0,0,,,
100,2020-07-27,0.0,4924.0,0,,,
101,2020-07-28,0.0,2400.0,0,,,
102,2020-07-29,0.0,3922.0,0,,,
103,2020-07-30,0.0,820.0,0,,,
104,2020-07-31,0.0,197.0,0,,,
105,2020-08-01,0.0,2313.0,0,,,
106,2020-08-02,0.0,9609.0,0,,,
107,2020-08-03,0.0,6233.0,0,,,
108,2020-08-04,0.0,2175.0,0,,,
109,2020-08-05,0.0,1432.0,0,,,
110,2020-08-06,0.0,368.0,0,,,
111,2020-08-07,0.0,835.0,0,,,
112,2020-08-08,0.0,0.0,0,,,
113,2020-08-09,0.0,1327.0,0,,,
114,2020-08-10,0.0,4268.0,0,,,
115,2020-08-11,0.0,6932.0,0,,,
116,2020-08-12,0.0,1528.0,0,,,
117,2020-08-13,0.0,3668.0,0,,,
118,2020-08-14,0.0,651.0,0,,,
119,2020-08-15,0.0,850.0,0,,,
120,2020-08-16,0.0,2699.0,0,,,
121,2020-08-17,0.0,1599.0,0,,,
122,2020-08-18,0.0,3346.0,0,,,
123,2020-08-19,0.0,3077.0,0,,,
124,2020-08-20,0.0,800.0,0,,,
125,2020-08-21,0.0,1126.0,0,,,
126,2020-08-22,0.0,440.0,0,,,
127,2020-08-23,0.0,3250.0,0,,,
128,2020-08-24,0.0,1543.0,0,,,
129,2020-08-25,0.0,3152.0,0,,,
130,2020-08-26,0.0,1581.0,0,,,
131,2020-08-27,0.0,118.0,0,,,
132,2020-08-28,0.0,979.0,0,,,
133,2020-08-29,0.0,915.0,0,,,
134,2020-08-30,0.0,615.0,0,,,
135,2020-08-31,0.0,2427.0,0,,,
136,2020-09-01,0.0,2234.0,0,,,
137,2020-09-02,0.0,1530.0,0,,,
138,2020-09-03,0.0,777.0,0,,,
139,2020-09-04,0.0,2647.0,0,,,
140,2020-09-05,0.0,2421.0,0,,,
141,2020-09-06,0.0,22473.0,0,,,
142,2020-09-07,263737355682200.0,0.0,56,4709595637182.143,,
143,2020-09-08,269847937213944.0,0.0,70,3854970531627.7715,,
144,2020-09-09,262588957728744.0,0.0,47,5586999100611.574,4717188423140.496,
145,2020-09-10,131706661579147.0,0.0,18,7317036754397.056,5586335462212.134,
146,2020-09-11,64267034044380.0,0.0,14,4590502431741.429,5831512762250.02,
147,2020-09-12,66076148671643.0,0.0,17,3886832274802.5293,5264790486980.338,
148,2020-09-13,151835637254438.0,0.0,33,4601079916801.151,4359471541115.0366,4935288092451.95
149,2020-09-14,507564938049752.0,0.0,49,10358468123464.326,6282126771689.336,5742269876206.548
150,2020-09-15,283100892562192.0,0.0,74,3825687737326.919,6261745259197.465,5738086619877.8545
151,2020-09-16,613460044888626.0,0.0,82,7481220059617.391,7221791973469.544,6008689614021.544
152,2020-09-17,202794233635287.0,0.0,25,8111769345411.48,6472892380785.263,6122222841309.318
153,2020-09-18,209884893962909.0,0.0,28,7495889070103.893,7696292825044.255,6537278075361.099
154,2020-09-19,143497760073997.0,0.0,24,5979073336416.542,7195577250643.972,6836169655591.672
155,2020-09-20,241868741037919.0,0.0,21,11517559097043.762,8330840501188.065,7824238109912.045
156,2020-09-21,328560670109629.0,0.0,55,5973830365629.618,7823487599696.641,7197861287364.229
157,2020-09-22,1128788522852554.0,0.0,96,11758213779714.104,9749867747462.494,8331079293419.54
158,2020-09-23,733933076272996.0,0.0,78,9409398413756.36,9047147519700.025,8606533344010.821
159,2020-09-24,463353010158489.0,0.0,41,11301292930694.854,10822968374721.771,9062179570479.877
160,2020-09-25,135219990785284.0,0.0,22,6146363217512.909,8952351520654.707,8869390162966.879
161,2020-09-26,491614101467084.0,0.0,25,19664564058683.36,12370740068963.709,10824460266147.854
162,2020-09-27,1059853218192125.0,0.0,43,24647749260281.977,16819558845492.75,12700201718039.027
163,2020-09-28,1241504332386751.0,0.0,56,22169720221191.98,22160677846719.105,15013900268833.646
164,2020-09-29,1484939254817660.0,0.0,82,18109015302654.39,21642161594709.45,15921157629253.69
165,2020-09-30,800795538658708.0,0.0,55,14559918884703.781,18279551469516.72,16656946267960.465
166,2020-10-01,768790941096680.0,0.0,27,28473738559136.297,20380890915498.156,19110152786309.242
167,2020-10-02,569061831728207.0,0.0,26,21886993528007.96,21640216990616.01,21358814259237.105
168,2020-10-03,734407315728337.0,0.0,25,29376292629133.48,26579008238759.246,22746204055015.695
169,2020-10-04,1115730786552380.0,0.0,51,21877074246125.098,24380120134422.176,22350393338707.57
170,2020-10-05,2165756722828330.0,0.0,56,38674227193363.04,29975864689540.543,24708180049017.723
171,2020-10-06,2320714625929067.0,0.0,66,35162342817107.074,31904548085531.734,27144369693939.53
172,2020-10-07,2669672096077806.0,0.0,60,44494534934630.1,39443701648366.74,31420743415357.574
173,2020-10-08,2278841917291821.0,0.0,53,42997017307392.85,40884631686376.68,33495497522251.37
174,2020-10-09,872532321286868.0,0.0,20,43626616064343.4,43706056102122.12,36601157884585.01
175,2020-10-10,2062079405176863.0,0.0,29,71106186385409.06,52576606585715.1,42562571278338.664
176,2020-10-11,2584036225618534.0,0.0,36,71778784044959.28,62170528831570.586,49691386963886.4
177,2020-10-12,2264725518418899.0,0.0,100,22647255184188.99,55177408538185.78,47401819534004.39
178,2020-10-13,1377620093325701.0,0.0,56,24600358809387.52,39675466012845.26,45892964675758.74
179,2020-10-14,1655738820099859.0,0.0,51,32465467060781.55,26571027018119.355,44174526408066.086
180,2020-10-15,1211367760642941.0,0.0,51,23752309032214.53,26939378300794.535,41425282368754.9
181,2020-10-16,1946904783373252.0,0.0,33,58997114647674.305,38404963580223.46,43621067880659.32
182,2020-10-17,606958728938597.0,0.0,16,37934920558662.31,40228114746183.72,38882315619695.5
183,2020-10-18,3383138958966228.0,0.0,64,52861546233847.31,49931193813394.65,36179853075250.93
184,2020-10-19,2777160589483949.0,0.0,86,32292564993999.406,41029677262169.68,37557754476652.42
185,2020-10-20,2335257429218410.0,0.0,47,49686328281242.766,44946813169696.49,41141464401203.17
186,2020-10-21,7086148844682031.0,0.0,54,131224978605222.8,71067957293488.33,55249966050409.06
187,2020-10-22,1061451957979194.0,0.0,49,21662284856718.246,67524530581061.27,54951391168195.31
188,2020-10-23,781568366534509.0,0.0,21,37217541263548.05,63368268241829.71,51840023541891.555
189,2020-10-24,833584261570894.0,0.0,21,39694488646233.05,32858104922166.45,52091390411544.516
190,2020-10-25,3478125952472622.0,0.0,46,75611433749404.83,50841154553061.98,55341374342338.445
191,2020-10-26,2868297522723462.0,0.0,80,35853719034043.27,50386547143227.055,55850110633773.29
192,2020-10-27,6042845271530162.0,0.0,69,87577467703335.69,66347540162261.27,61263130551215.13
193,2020-10-28,7494006985570813.0,0.0,69,108608796892330.62,77346661209903.2,58032247449373.39
194,2020-10-29,2622490211202318.0,0.0,51,51421376690241.53,82535880428635.95,62283546282733.86
195,2020-10-30,482472744128254.0,0.0,15,32164849608550.266,64065007730374.15,61561733189162.76
196,2020-10-31,1105702086523488.0,0.0,15,73713472434899.2,52433232911230.336,66421588016115.06
197,2020-11-01,2870355679778344.0,0.0,45,63785681772852.086,56554667938767.19,64732194876607.52
198,2020-11-02,2653847858219148.0,0.0,97,27359256270300.496,54952803492683.93,63518700196072.836
199,2020-11-03,1392421575348262.0,0.0,53,26272105195250.227,39139014412800.94,54760791266346.35
200,2020-11-04,902836339762207.0,0.0,48,18809090411712.645,24146817292421.125,41932261769115.2
201,2020-11-05,2499041027632894.0,0.0,69,36217985907723.1,27099727171561.99,39760348800184.01
202,2020-11-06,763102360563047.0,0.0,17,44888374150767.47,33305150156734.406,41577995163357.88
203,2020-11-07,1387286790215168.0,0.0,25,55491471608606.72,45532610555699.09,38974852188173.25
204,2020-11-08,2685808038082123.0,0.0,34,78994354061238.9,59791399940204.37,41147519657942.8
205,2020-11-09,4219791425902090.0,0.0,103,40968848795165.92,58484891488337.19,43091747161495.0
206,2020-11-10,1721125668592184.0,0.0,57,30195187168283.93,50052796674896.25,43652187443356.95
207,2020-11-11,2438953382052145.0,0.0,81,30110535580890.68,33758190514780.176,45266679610382.39
208,2020-11-12,1942734264848239.0,0.0,55,35322441179058.89,31876054642744.5,45138744649144.64
209,2020-11-13,1437366279909185.0,0.0,16,89835392494324.06,51756123084757.875,51559747269652.734
210,2020-11-14,1419704460079754.0,0.0,18,78872470004430.78,68010101225937.91,54899889897627.6
211,2020-11-15,7044822453417533.0,0.0,81,86973116708858.44,85226993069204.42,56039713133001.81
212,2020-11-16,2334489979566846.0,0.0,85,27464587994904.07,64436724902731.09,54110533018678.69
213,2020-11-17,1304372123238598.0,0.0,52,25084079293049.96,46507261332270.82,53380374750788.125
214,2020-11-18,1220759922315510.0,0.0,80,15259499028943.875,22602722105632.637,51258798100510.016
215,2020-11-19,656076907367690.0,0.0,42,15620878746849.762,18654819022947.863,48444289181622.99
216,2020-11-20,721081278416875.0,0.0,36,20030035511579.86,16970137762457.834,38472095326945.24
217,2020-11-21,619215622695117.0,0.0,41,15102820065734.56,16917911441388.06,29362145335702.93
218,2020-11-22,1052559317513253.0,0.0,39,26988700449057.77,20707185342124.062,20792943012874.27
219,2020-11-23,1642298557044557.0,0.0,116,14157746181418.596,18749755565403.645,18891965610947.77
220,2020-11-24,1956872306293278.0,0.0,58,33739177694711.69,24961874775062.688,20128408239756.59
221,2020-11-25,778861772913435.0,0.0,82,9498314303822.379,19131746059984.223,19305381850453.52
222,2020-11-26,1113653352727140.0,0.0,92,12104927747034.13,18447473248522.734,18803103136194.14
223,2020-11-27,464610519148173.0,0.0,21,22124310435627.285,14575850828827.932,19102285268200.914
224,2020-11-28,261214414354533.0,0.0,18,14511911908585.166,16247050030415.53,19017869817179.574
225,2020-11-29,1579617574470989.0,0.0,87,18156523844494.125,18264248729568.86,17756130302241.91
226,2020-11-30,3550271272810467.0,0.0,87,40807715779430.66,24492050510836.652,21563268816243.633
227,2020-12-01,2045999995944795.0,0.0,77,26571428518763.57,28511889380896.12,20539304648251.043
228,2020-12-02,1541615894536549.0,0.0,103,14967144607150.96,27448762968448.395,21320566120155.125
229,2020-12-03,2402698515448183.0,0.0,95,25291563320507.19,22276712148807.246,23204371202079.85
230,2020-12-04,529457880966320.0,0.0,44,12033133658325.455,17430613861994.54,21762774519608.16
231,2020-12-05,354768062279057.0,0.0,31,11444131041259.902,16256276006697.518,21324520109990.27
232,2020-12-06,1244604289848563.0,0.0,56,22225076604438.625,15234113768007.994,21905741932839.48
233,2020-12-07,1588401249088597.0,0.0,87,18257485621708.01,17308897755802.182,18684280481736.246
234,2020-12-08,1445070546614521.0,0.0,96,15052818193901.26,18511793473349.3,17038764721041.629
235,2020-12-09,2484067103437621.0,0.0,90,27600745593751.344,20303683136453.54,18843564861984.54
236,2020-12-10,1726408414544392.0,0.0,92,18765308853743.39,20472957547132.0,17911242795304.0
